START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/23/18,12:05 PM,03:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"",02/23/18,02/23/18,03:05 PM,06:05 PM,FALSE,TRUE,02/23/18,11:05 AM,02:05 PM,FREE,BUSY
02/24/18,12:05 PM,03:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"",02/24/18,02/24/18,03:05 PM,06:05 PM,FALSE,TRUE,02/24/18,11:05 AM,02:05 PM,FREE,BUSY
02/25/18,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",02/25/18,02/25/18,03:05 PM,06:05 PM,FALSE,TRUE,02/25/18,11:05 AM,02:05 PM,FREE,BUSY
02/26/18,12:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"",02/26/18,02/26/18,03:05 PM,06:05 PM,FALSE,TRUE,02/26/18,11:05 AM,02:05 PM,FREE,BUSY
02/27/18,12:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"",02/27/18,02/27/18,03:05 PM,06:05 PM,FALSE,TRUE,02/27/18,11:05 AM,02:05 PM,FREE,BUSY
02/28/18,12:05 PM,03:05 PM,Giants at Brewers,Maryvale Baseball Park - Phoenix,"",02/28/18,02/28/18,03:05 PM,06:05 PM,FALSE,TRUE,02/28/18,11:05 AM,02:05 PM,FREE,BUSY
03/01/18,12:05 PM,03:05 PM,Angels at Giants,Scottsdale Stadium - Scottsdale,"",03/01/18,03/01/18,03:05 PM,06:05 PM,FALSE,TRUE,03/01/18,11:05 AM,02:05 PM,FREE,BUSY
03/02/18,12:05 PM,03:05 PM,Reds at Giants,Scottsdale Stadium - Scottsdale,"",03/02/18,03/02/18,03:05 PM,06:05 PM,FALSE,TRUE,03/02/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,Giants at Indians,Goodyear Ballpark - Goodyear,"",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
03/03/18,12:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"",03/03/18,03/03/18,03:05 PM,06:05 PM,FALSE,TRUE,03/03/18,11:05 AM,02:05 PM,FREE,BUSY
03/04/18,12:05 PM,03:05 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",03/04/18,03/04/18,03:05 PM,06:05 PM,FALSE,TRUE,03/04/18,11:05 AM,02:05 PM,FREE,BUSY
03/05/18,12:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"",03/05/18,03/05/18,03:05 PM,06:05 PM,FALSE,TRUE,03/05/18,11:05 AM,02:05 PM,FREE,BUSY
03/07/18,12:05 PM,03:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",03/07/18,03/07/18,03:05 PM,06:05 PM,FALSE,TRUE,03/07/18,11:05 AM,02:05 PM,FREE,BUSY
03/08/18,05:40 PM,08:40 PM,Giants at Mariners,Peoria Stadium - Peoria,"",03/08/18,03/08/18,08:40 PM,11:40 PM,FALSE,TRUE,03/08/18,04:40 PM,07:40 PM,FREE,BUSY
