START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/25/23,12:05 PM,03:05 PM,Giants at Cubs,Sloan Park - Mesa,"",02/25/23,02/25/23,03:05 PM,06:05 PM,FALSE,TRUE,02/25/23,11:05 AM,02:05 PM,FREE,BUSY
02/26/23,01:05 PM,03:05 PM,Reds at Giants,Scottsdale Stadium - Scottsdale,"",02/26/23,02/26/23,04:05 PM,06:05 PM,FALSE,TRUE,02/26/23,12:05 PM,02:05 PM,FREE,BUSY
02/27/23,12:10 PM,03:10 PM,Giants at Angels,Tempe Diablo Stadium - Tempe,"",02/27/23,02/27/23,03:10 PM,06:10 PM,FALSE,TRUE,02/27/23,11:10 AM,02:10 PM,FREE,BUSY
02/28/23,01:05 PM,03:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,"",02/28/23,02/28/23,04:05 PM,06:05 PM,FALSE,TRUE,02/28/23,12:05 PM,02:05 PM,FREE,BUSY
03/01/23,01:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/01/23,03/01/23,04:05 PM,06:05 PM,FALSE,TRUE,03/01/23,12:05 PM,02:05 PM,FREE,BUSY
03/02/23,12:05 PM,03:05 PM,Giants at Guardians,Goodyear Ballpark - Goodyear,"",03/02/23,03/02/23,03:05 PM,06:05 PM,FALSE,TRUE,03/02/23,11:05 AM,02:05 PM,FREE,BUSY
03/03/23,01:05 PM,03:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"",03/03/23,03/03/23,04:05 PM,06:05 PM,FALSE,TRUE,03/03/23,12:05 PM,02:05 PM,FREE,BUSY
03/03/23,12:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"",03/03/23,03/03/23,03:05 PM,06:05 PM,FALSE,TRUE,03/03/23,11:05 AM,02:05 PM,FREE,BUSY
03/04/23,12:10 PM,03:10 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,"",03/04/23,03/04/23,03:10 PM,06:10 PM,FALSE,TRUE,03/04/23,11:10 AM,02:10 PM,FREE,BUSY
03/04/23,01:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 104.5 FM/680 AM",03/04/23,03/04/23,04:05 PM,06:05 PM,FALSE,TRUE,03/04/23,12:05 PM,02:05 PM,FREE,BUSY
03/05/23,01:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"",03/05/23,03/05/23,04:05 PM,06:05 PM,FALSE,TRUE,03/05/23,12:05 PM,02:05 PM,FREE,BUSY
03/07/23,12:05 PM,03:05 PM,Giants at Reds,Goodyear Ballpark - Goodyear,"",03/07/23,03/07/23,03:05 PM,06:05 PM,FALSE,TRUE,03/07/23,11:05 AM,02:05 PM,FREE,BUSY
03/08/23,07:05 PM,09:05 PM,United States at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",03/08/23,03/09/23,10:05 PM,12:05 AM,FALSE,TRUE,03/08/23,06:05 PM,08:05 PM,FREE,BUSY
03/09/23,01:05 PM,03:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"",03/09/23,03/09/23,04:05 PM,06:05 PM,FALSE,TRUE,03/09/23,12:05 PM,02:05 PM,FREE,BUSY
03/10/23,12:10 PM,03:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"Local Radio: MLB.com",03/10/23,03/10/23,03:10 PM,06:10 PM,FALSE,TRUE,03/10/23,11:10 AM,02:10 PM,FREE,BUSY
03/11/23,01:05 PM,03:05 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBC Sports App ----- Local Radio: KNBR 680",03/11/23,03/11/23,04:05 PM,06:05 PM,FALSE,TRUE,03/11/23,12:05 PM,02:05 PM,FREE,BUSY
03/12/23,01:05 PM,04:05 PM,Athletics at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA ----- Local Radio: KNBR 680",03/12/23,03/12/23,04:05 PM,07:05 PM,FALSE,TRUE,03/12/23,12:05 PM,03:05 PM,FREE,BUSY
03/13/23,01:10 PM,04:10 PM,Giants at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/13/23,03/13/23,04:10 PM,07:10 PM,FALSE,TRUE,03/13/23,12:10 PM,03:10 PM,FREE,BUSY
03/14/23,01:10 PM,04:10 PM,Giants at D-backs,Salt River Fields at Talking Stick - Scottsdale,"",03/14/23,03/14/23,04:10 PM,07:10 PM,FALSE,TRUE,03/14/23,12:10 PM,03:10 PM,FREE,BUSY
03/16/23,01:10 PM,04:10 PM,Giants at Mariners,Peoria Stadium - Peoria,"",03/16/23,03/16/23,04:10 PM,07:10 PM,FALSE,TRUE,03/16/23,12:10 PM,03:10 PM,FREE,BUSY
03/17/23,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"",03/17/23,03/17/23,04:05 PM,07:05 PM,FALSE,TRUE,03/17/23,12:05 PM,03:05 PM,FREE,BUSY
03/18/23,01:05 PM,04:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"",03/18/23,03/18/23,04:05 PM,07:05 PM,FALSE,TRUE,03/18/23,12:05 PM,03:05 PM,FREE,BUSY
03/19/23,01:05 PM,04:05 PM,Angels at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",03/19/23,03/19/23,04:05 PM,07:05 PM,FALSE,TRUE,03/19/23,12:05 PM,03:05 PM,FREE,BUSY
03/21/23,01:05 PM,04:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"",03/21/23,03/21/23,04:05 PM,07:05 PM,FALSE,TRUE,03/21/23,12:05 PM,03:05 PM,FREE,BUSY
03/22/23,01:05 PM,04:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBC Sports App ----- Local Radio: KNBR 680",03/22/23,03/22/23,04:05 PM,07:05 PM,FALSE,TRUE,03/22/23,12:05 PM,03:05 PM,FREE,BUSY
03/23/23,01:05 PM,04:05 PM,Giants at White Sox,Camelback Ranch - Glendale,"",03/23/23,03/23/23,04:05 PM,07:05 PM,FALSE,TRUE,03/23/23,12:05 PM,03:05 PM,FREE,BUSY
03/23/23,06:05 PM,09:05 PM,Guardians at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",03/23/23,03/24/23,09:05 PM,12:05 AM,FALSE,TRUE,03/23/23,05:05 PM,08:05 PM,FREE,BUSY
03/24/23,01:05 PM,04:05 PM,Giants at Royals,Surprise Stadium - Surprise,"",03/24/23,03/24/23,04:05 PM,07:05 PM,FALSE,TRUE,03/24/23,12:05 PM,03:05 PM,FREE,BUSY
03/25/23,01:05 PM,04:05 PM,Mariners at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBC Sports App ----- Local Radio: KNBR 680",03/25/23,03/25/23,04:05 PM,07:05 PM,FALSE,TRUE,03/25/23,12:05 PM,03:05 PM,FREE,BUSY
03/26/23,01:07 PM,04:07 PM,Giants at Athletics,Oakland Coliseum - Oakland,"Local TV: NBCS BA",03/26/23,03/26/23,04:07 PM,07:07 PM,FALSE,TRUE,03/26/23,12:07 PM,03:07 PM,FREE,BUSY
03/27/23,06:45 PM,09:45 PM,Athletics at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: 1510 AM - KSFN",03/27/23,03/28/23,09:45 PM,12:45 AM,FALSE,TRUE,03/27/23,05:45 PM,08:45 PM,FREE,BUSY
03/30/23,10:05 AM,01:05 PM,Giants at Yankees,Yankee Stadium - Bronx,"",03/30/23,03/30/23,01:05 PM,04:05 PM,FALSE,TRUE,03/30/23,09:05 AM,12:05 PM,FREE,BUSY
04/01/23,01:05 PM,04:05 PM,Giants at Yankees,Yankee Stadium - Bronx,"Local TV: FOX",04/01/23,04/01/23,04:05 PM,07:05 PM,FALSE,TRUE,04/01/23,12:05 PM,03:05 PM,FREE,BUSY
04/02/23,10:35 AM,01:35 PM,Giants at Yankees,Yankee Stadium - Bronx,"",04/02/23,04/02/23,01:35 PM,04:35 PM,FALSE,TRUE,04/02/23,09:35 AM,12:35 PM,FREE,BUSY
04/03/23,01:10 PM,04:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"",04/03/23,04/03/23,04:10 PM,07:10 PM,FALSE,TRUE,04/03/23,12:10 PM,03:10 PM,FREE,BUSY
04/05/23,11:10 AM,02:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"",04/05/23,04/05/23,02:10 PM,05:10 PM,FALSE,TRUE,04/05/23,10:10 AM,01:10 PM,FREE,BUSY
04/06/23,11:10 AM,02:10 PM,Giants at White Sox,Guaranteed Rate Field - Chicago,"",04/06/23,04/06/23,02:10 PM,05:10 PM,FALSE,TRUE,04/06/23,10:10 AM,01:10 PM,FREE,BUSY
04/07/23,01:35 PM,04:35 PM,Royals at Giants,Oracle Park - San Francisco,"",04/07/23,04/07/23,04:35 PM,07:35 PM,FALSE,TRUE,04/07/23,12:35 PM,03:35 PM,FREE,BUSY
04/08/23,01:05 PM,04:05 PM,Royals at Giants,Oracle Park - San Francisco,"",04/08/23,04/08/23,04:05 PM,07:05 PM,FALSE,TRUE,04/08/23,12:05 PM,03:05 PM,FREE,BUSY
04/09/23,01:05 PM,04:05 PM,Royals at Giants,Oracle Park - San Francisco,"",04/09/23,04/09/23,04:05 PM,07:05 PM,FALSE,TRUE,04/09/23,12:05 PM,03:05 PM,FREE,BUSY
04/10/23,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,"",04/10/23,04/11/23,09:45 PM,12:45 AM,FALSE,TRUE,04/10/23,05:45 PM,08:45 PM,FREE,BUSY
04/11/23,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,"",04/11/23,04/12/23,09:45 PM,12:45 AM,FALSE,TRUE,04/11/23,05:45 PM,08:45 PM,FREE,BUSY
04/12/23,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,"",04/12/23,04/13/23,09:45 PM,12:45 AM,FALSE,TRUE,04/12/23,05:45 PM,08:45 PM,FREE,BUSY
04/14/23,03:40 PM,06:40 PM,Giants at Tigers,Comerica Park - Detroit,"",04/14/23,04/14/23,06:40 PM,09:40 PM,FALSE,TRUE,04/14/23,02:40 PM,05:40 PM,FREE,BUSY
04/15/23,10:10 AM,01:10 PM,Giants at Tigers,Comerica Park - Detroit,"",04/15/23,04/15/23,01:10 PM,04:10 PM,FALSE,TRUE,04/15/23,09:10 AM,12:10 PM,FREE,BUSY
04/16/23,10:10 AM,01:10 PM,Giants at Tigers,Comerica Park - Detroit,"",04/16/23,04/16/23,01:10 PM,04:10 PM,FALSE,TRUE,04/16/23,09:10 AM,12:10 PM,FREE,BUSY
04/17/23,03:40 PM,06:40 PM,Giants at Marlins,loanDepot park - Miami,"",04/17/23,04/17/23,06:40 PM,09:40 PM,FALSE,TRUE,04/17/23,02:40 PM,05:40 PM,FREE,BUSY
04/18/23,03:40 PM,06:40 PM,Giants at Marlins,loanDepot park - Miami,"",04/18/23,04/18/23,06:40 PM,09:40 PM,FALSE,TRUE,04/18/23,02:40 PM,05:40 PM,FREE,BUSY
04/19/23,10:10 AM,01:10 PM,Giants at Marlins,loanDepot park - Miami,"",04/19/23,04/19/23,01:10 PM,04:10 PM,FALSE,TRUE,04/19/23,09:10 AM,12:10 PM,FREE,BUSY
