START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/28/21,12:05 PM,03:05 PM,Angels at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 104.5 FM/680 AM",02/28/21,02/28/21,03:05 PM,06:05 PM,FALSE,TRUE,02/28/21,11:05 AM,02:05 PM,FREE,BUSY
03/01/21,12:05 PM,03:05 PM,Giants at Rangers,Surprise Stadium - Surprise,"Local Radio: MLB.com",03/01/21,03/01/21,03:05 PM,06:05 PM,FALSE,TRUE,03/01/21,11:05 AM,02:05 PM,FREE,BUSY
03/02/21,06:05 PM,09:05 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA- MLBN ----- Local Radio: KNBR 104.5 FM/680 AM",03/02/21,03/03/21,09:05 PM,12:05 AM,FALSE,TRUE,03/02/21,05:05 PM,08:05 PM,FREE,BUSY
03/04/21,12:05 PM,03:05 PM,White Sox at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/04/21,03/04/21,03:05 PM,06:05 PM,FALSE,TRUE,03/04/21,11:05 AM,02:05 PM,FREE,BUSY
03/05/21,05:40 PM,08:40 PM,Giants at Padres,Peoria Stadium - Peoria,"Local Radio: MLB.com",03/05/21,03/05/21,08:40 PM,11:40 PM,FALSE,TRUE,03/05/21,04:40 PM,07:40 PM,FREE,BUSY
03/06/21,12:05 PM,03:05 PM,Royals at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 104.5 FM/680 AM",03/06/21,03/06/21,03:05 PM,06:05 PM,FALSE,TRUE,03/06/21,11:05 AM,02:05 PM,FREE,BUSY
03/07/21,12:05 PM,03:05 PM,Giants at Reds,Goodyear Ballpark - Goodyear,"Local Radio: KNBR 104.5 FM/680 AM",03/07/21,03/07/21,03:05 PM,06:05 PM,FALSE,TRUE,03/07/21,11:05 AM,02:05 PM,FREE,BUSY
03/08/21,12:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/08/21,03/08/21,03:05 PM,06:05 PM,FALSE,TRUE,03/08/21,11:05 AM,02:05 PM,FREE,BUSY
03/09/21,12:10 PM,03:10 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,"Local Radio: MLB.com",03/09/21,03/09/21,03:10 PM,06:10 PM,FALSE,TRUE,03/09/21,11:10 AM,02:10 PM,FREE,BUSY
03/10/21,12:05 PM,03:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/10/21,03/10/21,03:05 PM,06:05 PM,FALSE,TRUE,03/10/21,11:05 AM,02:05 PM,FREE,BUSY
