START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
02/22/20,02:15 PM,05:15 PM,Dodgers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 104.5 FM/680 AM",02/22/20,02/22/20,05:15 PM,08:15 PM,FALSE,TRUE,02/22/20,01:15 PM,04:15 PM,FREE,BUSY
02/23/20,12:05 PM,03:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"Local Radio: KNBR 104.5 FM/680 AM",02/23/20,02/23/20,03:05 PM,06:05 PM,FALSE,TRUE,02/23/20,11:05 AM,02:05 PM,FREE,BUSY
02/24/20,12:05 PM,03:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",02/24/20,02/24/20,03:05 PM,06:05 PM,FALSE,TRUE,02/24/20,11:05 AM,02:05 PM,FREE,BUSY
02/25/20,12:05 PM,03:05 PM,Giants at White Sox,Camelback Ranch - Glendale,"Local Radio: MLB.com",02/25/20,02/25/20,03:05 PM,06:05 PM,FALSE,TRUE,02/25/20,11:05 AM,02:05 PM,FREE,BUSY
02/26/20,12:05 PM,03:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",02/26/20,02/26/20,03:05 PM,06:05 PM,FALSE,TRUE,02/26/20,11:05 AM,02:05 PM,FREE,BUSY
02/27/20,12:10 PM,03:10 PM,Giants at Mariners,Peoria Stadium - Peoria,"Local Radio: MLB.com",02/27/20,02/27/20,03:10 PM,06:10 PM,FALSE,TRUE,02/27/20,11:10 AM,02:10 PM,FREE,BUSY
02/28/20,12:05 PM,03:05 PM,Giants at Royals,Surprise Stadium - Surprise,"",02/28/20,02/28/20,03:05 PM,06:05 PM,FALSE,TRUE,02/28/20,11:05 AM,02:05 PM,FREE,BUSY
02/28/20,06:05 PM,09:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBC Bay Area- MLBN (out-of-market only) ----- Local Radio: KNBR 104.5 FM/680 AM",02/28/20,02/29/20,09:05 PM,12:05 AM,FALSE,TRUE,02/28/20,05:05 PM,08:05 PM,FREE,BUSY
02/29/20,12:05 PM,03:05 PM,Angels at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 104.5 FM/680 AM",02/29/20,02/29/20,03:05 PM,06:05 PM,FALSE,TRUE,02/29/20,11:05 AM,02:05 PM,FREE,BUSY
03/01/20,12:10 PM,03:10 PM,Giants at Padres,Peoria Stadium - Peoria,"Local Radio: KNBR 104.5 FM/680 AM",03/01/20,03/01/20,03:10 PM,06:10 PM,FALSE,TRUE,03/01/20,11:10 AM,02:10 PM,FREE,BUSY
