START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/18/22,07:05 PM,10:05 PM,Cubs at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA ----- Local Radio: KNBR 680",03/18/22,03/19/22,10:05 PM,01:05 AM,FALSE,TRUE,03/18/22,06:05 PM,09:05 PM,FREE,BUSY
03/19/22,01:10 PM,04:10 PM,Giants at Rockies,Salt River Fields at Talking Stick - Scottsdale,"",03/19/22,03/19/22,04:10 PM,07:10 PM,FALSE,TRUE,03/19/22,12:10 PM,03:10 PM,FREE,BUSY
03/20/22,01:05 PM,04:05 PM,Giants at Reds,Goodyear Ballpark - Goodyear,"",03/20/22,03/20/22,04:05 PM,07:05 PM,FALSE,TRUE,03/20/22,12:05 PM,03:05 PM,FREE,BUSY
03/21/22,07:05 PM,10:05 PM,Brewers at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA ----- Local Radio: KNBR 680",03/21/22,03/22/22,10:05 PM,01:05 AM,FALSE,TRUE,03/21/22,06:05 PM,09:05 PM,FREE,BUSY
03/23/22,01:05 PM,04:05 PM,D-backs at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/23/22,03/23/22,04:05 PM,07:05 PM,FALSE,TRUE,03/23/22,12:05 PM,03:05 PM,FREE,BUSY
03/24/22,01:05 PM,04:05 PM,Giants at White Sox,Camelback Ranch - Glendale,"",03/24/22,03/24/22,04:05 PM,07:05 PM,FALSE,TRUE,03/24/22,12:05 PM,03:05 PM,FREE,BUSY
03/25/22,01:05 PM,04:05 PM,Guardians at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",03/25/22,03/25/22,04:05 PM,07:05 PM,FALSE,TRUE,03/25/22,12:05 PM,03:05 PM,FREE,BUSY
03/26/22,01:05 PM,04:05 PM,Reds at Giants,Scottsdale Stadium - Scottsdale,"Local TV: NBCS BA",03/26/22,03/26/22,04:05 PM,07:05 PM,FALSE,TRUE,03/26/22,12:05 PM,03:05 PM,FREE,BUSY
03/27/22,01:10 PM,04:10 PM,Giants at Angels,Tempe Diablo Stadium - Tempe,"",03/27/22,03/27/22,04:10 PM,07:10 PM,FALSE,TRUE,03/27/22,12:10 PM,03:10 PM,FREE,BUSY
03/28/22,01:10 PM,04:10 PM,Giants at Brewers,American Family Fields of Phoenix - Phoenix,"",03/28/22,03/28/22,04:10 PM,07:10 PM,FALSE,TRUE,03/28/22,12:10 PM,03:10 PM,FREE,BUSY
03/29/22,01:05 PM,04:05 PM,Padres at Giants,Scottsdale Stadium - Scottsdale,"",03/29/22,03/29/22,04:05 PM,07:05 PM,FALSE,TRUE,03/29/22,12:05 PM,03:05 PM,FREE,BUSY
03/30/22,01:05 PM,04:05 PM,Giants at Royals,Surprise Stadium - Surprise,"",03/30/22,03/30/22,04:05 PM,07:05 PM,FALSE,TRUE,03/30/22,12:05 PM,03:05 PM,FREE,BUSY
03/31/22,01:05 PM,04:05 PM,Rockies at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: MLB.com",03/31/22,03/31/22,04:05 PM,07:05 PM,FALSE,TRUE,03/31/22,12:05 PM,03:05 PM,FREE,BUSY
04/01/22,12:05 PM,03:05 PM,Rangers at Giants,Scottsdale Stadium - Scottsdale,"Local Radio: KNBR 680",04/01/22,04/01/22,03:05 PM,06:05 PM,FALSE,TRUE,04/01/22,11:05 AM,02:05 PM,FREE,BUSY
04/02/22,12:05 PM,03:05 PM,Giants at Dodgers,Camelback Ranch - Glendale,"Local Radio: KNBR 680",04/02/22,04/02/22,03:05 PM,06:05 PM,FALSE,TRUE,04/02/22,11:05 AM,02:05 PM,FREE,BUSY
04/04/22,01:05 PM,04:05 PM,Giants at Athletics,Hohokam Stadium - Mesa,"",04/04/22,04/04/22,04:05 PM,07:05 PM,FALSE,TRUE,04/04/22,12:05 PM,03:05 PM,FREE,BUSY
04/05/22,01:05 PM,04:05 PM,Athletics at Giants,Scottsdale Stadium - Scottsdale,"",04/05/22,04/05/22,04:05 PM,07:05 PM,FALSE,TRUE,04/05/22,12:05 PM,03:05 PM,FREE,BUSY
04/08/22,01:35 PM,04:35 PM,Marlins at Giants,Oracle Park - San Francisco,"",04/08/22,04/08/22,04:35 PM,07:35 PM,FALSE,TRUE,04/08/22,12:35 PM,03:35 PM,FREE,BUSY
04/09/22,01:05 PM,04:05 PM,Marlins at Giants,Oracle Park - San Francisco,"",04/09/22,04/09/22,04:05 PM,07:05 PM,FALSE,TRUE,04/09/22,12:05 PM,03:05 PM,FREE,BUSY
04/10/22,01:05 PM,04:05 PM,Marlins at Giants,Oracle Park - San Francisco,"",04/10/22,04/10/22,04:05 PM,07:05 PM,FALSE,TRUE,04/10/22,12:05 PM,03:05 PM,FREE,BUSY
04/11/22,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,"",04/11/22,04/12/22,09:45 PM,12:45 AM,FALSE,TRUE,04/11/22,05:45 PM,08:45 PM,FREE,BUSY
04/12/22,06:45 PM,09:45 PM,Padres at Giants,Oracle Park - San Francisco,"",04/12/22,04/13/22,09:45 PM,12:45 AM,FALSE,TRUE,04/12/22,05:45 PM,08:45 PM,FREE,BUSY
04/13/22,12:45 PM,03:45 PM,Padres at Giants,Oracle Park - San Francisco,"",04/13/22,04/13/22,03:45 PM,06:45 PM,FALSE,TRUE,04/13/22,11:45 AM,02:45 PM,FREE,BUSY
04/15/22,04:10 PM,07:10 PM,Giants at Guardians,Progressive Field - Cleveland,"",04/15/22,04/15/22,07:10 PM,10:10 PM,FALSE,TRUE,04/15/22,03:10 PM,06:10 PM,FREE,BUSY
04/16/22,03:10 PM,06:10 PM,Giants at Guardians,Progressive Field - Cleveland,"",04/16/22,04/16/22,06:10 PM,09:10 PM,FALSE,TRUE,04/16/22,02:10 PM,05:10 PM,FREE,BUSY
04/17/22,10:40 AM,01:40 PM,Giants at Guardians,Progressive Field - Cleveland,"",04/17/22,04/17/22,01:40 PM,04:40 PM,FALSE,TRUE,04/17/22,09:40 AM,12:40 PM,FREE,BUSY
04/18/22,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"",04/18/22,04/18/22,07:10 PM,10:10 PM,FALSE,TRUE,04/18/22,03:10 PM,06:10 PM,FREE,BUSY
04/19/22,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"",04/19/22,04/19/22,07:10 PM,10:10 PM,FALSE,TRUE,04/19/22,03:10 PM,06:10 PM,FREE,BUSY
04/20/22,04:10 PM,07:10 PM,Giants at Mets,Citi Field - Flushing,"",04/20/22,04/20/22,07:10 PM,10:10 PM,FALSE,TRUE,04/20/22,03:10 PM,06:10 PM,FREE,BUSY
04/21/22,10:10 AM,01:10 PM,Giants at Mets,Citi Field - Flushing,"",04/21/22,04/21/22,01:10 PM,04:10 PM,FALSE,TRUE,04/21/22,09:10 AM,12:10 PM,FREE,BUSY
04/22/22,04:05 PM,07:05 PM,Giants at Nationals,Nationals Park - Washington,"",04/22/22,04/22/22,07:05 PM,10:05 PM,FALSE,TRUE,04/22/22,03:05 PM,06:05 PM,FREE,BUSY
04/23/22,10:05 AM,01:05 PM,Giants at Nationals,Nationals Park - Washington,"",04/23/22,04/23/22,01:05 PM,04:05 PM,FALSE,TRUE,04/23/22,09:05 AM,12:05 PM,FREE,BUSY
04/24/22,10:35 AM,01:35 PM,Giants at Nationals,Nationals Park - Washington,"",04/24/22,04/24/22,01:35 PM,04:35 PM,FALSE,TRUE,04/24/22,09:35 AM,12:35 PM,FREE,BUSY
04/25/22,03:10 PM,06:10 PM,Giants at Brewers,American Family Field - Milwaukee,"",04/25/22,04/25/22,06:10 PM,09:10 PM,FALSE,TRUE,04/25/22,02:10 PM,05:10 PM,FREE,BUSY
04/26/22,06:45 PM,09:45 PM,Athletics at Giants,Oracle Park - San Francisco,"",04/26/22,04/27/22,09:45 PM,12:45 AM,FALSE,TRUE,04/26/22,05:45 PM,08:45 PM,FREE,BUSY
04/27/22,06:45 PM,09:45 PM,Athletics at Giants,Oracle Park - San Francisco,"",04/27/22,04/28/22,09:45 PM,12:45 AM,FALSE,TRUE,04/27/22,05:45 PM,08:45 PM,FREE,BUSY
04/29/22,07:15 PM,10:15 PM,Nationals at Giants,Oracle Park - San Francisco,"",04/29/22,04/30/22,10:15 PM,01:15 AM,FALSE,TRUE,04/29/22,06:15 PM,09:15 PM,FREE,BUSY
04/30/22,01:05 PM,04:05 PM,Nationals at Giants,Oracle Park - San Francisco,"",04/30/22,04/30/22,04:05 PM,07:05 PM,FALSE,TRUE,04/30/22,12:05 PM,03:05 PM,FREE,BUSY
05/01/22,01:05 PM,04:05 PM,Nationals at Giants,Oracle Park - San Francisco,"",05/01/22,05/01/22,04:05 PM,07:05 PM,FALSE,TRUE,05/01/22,12:05 PM,03:05 PM,FREE,BUSY
05/03/22,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"",05/03/22,05/04/22,10:10 PM,01:10 AM,FALSE,TRUE,05/03/22,06:10 PM,09:10 PM,FREE,BUSY
05/04/22,07:10 PM,10:10 PM,Giants at Dodgers,Dodger Stadium - Los Angeles,"",05/04/22,05/05/22,10:10 PM,01:10 AM,FALSE,TRUE,05/04/22,06:10 PM,09:10 PM,FREE,BUSY
05/05/22,06:45 PM,09:45 PM,Cardinals at Giants,Oracle Park - San Francisco,"",05/05/22,05/06/22,09:45 PM,12:45 AM,FALSE,TRUE,05/05/22,05:45 PM,08:45 PM,FREE,BUSY
05/06/22,07:15 PM,10:15 PM,Cardinals at Giants,Oracle Park - San Francisco,"",05/06/22,05/07/22,10:15 PM,01:15 AM,FALSE,TRUE,05/06/22,06:15 PM,09:15 PM,FREE,BUSY
