START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
04/30/19,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",04/30/19,05/01/19,09:45 PM,12:45 AM,FALSE,TRUE,04/30/19,05:45 PM,08:45 PM,FREE,BUSY
05/01/19,06:45 PM,09:45 PM,Dodgers at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/01/19,05/02/19,09:45 PM,12:45 AM,FALSE,TRUE,05/01/19,05:45 PM,08:45 PM,FREE,BUSY
05/03/19,04:10 PM,07:10 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/03/19,05/03/19,07:10 PM,10:10 PM,FALSE,TRUE,05/03/19,03:10 PM,06:10 PM,FREE,BUSY
05/04/19,04:10 PM,07:10 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/04/19,05/04/19,07:10 PM,10:10 PM,FALSE,TRUE,05/04/19,03:10 PM,06:10 PM,FREE,BUSY
05/05/19,01:10 PM,04:10 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/05/19,05/05/19,04:10 PM,07:10 PM,FALSE,TRUE,05/05/19,12:10 PM,03:10 PM,FREE,BUSY
05/06/19,09:35 AM,12:35 PM,Giants at Reds,Great American Ball Park - Cincinnati,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/06/19,05/06/19,12:35 PM,03:35 PM,FALSE,TRUE,05/06/19,08:35 AM,11:35 AM,FREE,BUSY
05/07/19,05:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/07/19,05/07/19,08:40 PM,11:40 PM,FALSE,TRUE,05/07/19,04:40 PM,07:40 PM,FREE,BUSY
05/08/19,05:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/08/19,05/08/19,08:40 PM,11:40 PM,FALSE,TRUE,05/08/19,04:40 PM,07:40 PM,FREE,BUSY
05/09/19,12:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/09/19,05/09/19,03:10 PM,06:10 PM,FALSE,TRUE,05/09/19,11:10 AM,02:10 PM,FREE,BUSY
05/10/19,07:15 PM,10:15 PM,Reds at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/10/19,05/11/19,10:15 PM,01:15 AM,FALSE,TRUE,05/10/19,06:15 PM,09:15 PM,FREE,BUSY
05/11/19,06:05 PM,09:05 PM,Reds at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/11/19,05/12/19,09:05 PM,12:05 AM,FALSE,TRUE,05/11/19,05:05 PM,08:05 PM,FREE,BUSY
05/12/19,01:05 PM,04:05 PM,Reds at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/12/19,05/12/19,04:05 PM,07:05 PM,FALSE,TRUE,05/12/19,12:05 PM,03:05 PM,FREE,BUSY
05/14/19,06:45 PM,09:45 PM,Blue Jays at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/14/19,05/15/19,09:45 PM,12:45 AM,FALSE,TRUE,05/14/19,05:45 PM,08:45 PM,FREE,BUSY
05/15/19,12:45 PM,03:45 PM,Blue Jays at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/15/19,05/15/19,03:45 PM,06:45 PM,FALSE,TRUE,05/15/19,11:45 AM,02:45 PM,FREE,BUSY
05/17/19,06:40 PM,09:40 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680",05/17/19,05/18/19,09:40 PM,12:40 AM,FALSE,TRUE,05/17/19,05:40 PM,08:40 PM,FREE,BUSY
05/18/19,07:10 PM,10:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/18/19,05/19/19,10:10 PM,01:10 AM,FALSE,TRUE,05/18/19,06:10 PM,09:10 PM,FREE,BUSY
05/19/19,01:10 PM,04:10 PM,Giants at D-backs,Chase Field - Phoenix,"Local TV: NBCS BA ----- Local Radio: KNBR 680",05/19/19,05/19/19,04:10 PM,07:10 PM,FALSE,TRUE,05/19/19,12:10 PM,03:10 PM,FREE,BUSY
05/20/19,06:45 PM,09:45 PM,Braves at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/20/19,05/21/19,09:45 PM,12:45 AM,FALSE,TRUE,05/20/19,05:45 PM,08:45 PM,FREE,BUSY
05/21/19,06:45 PM,09:45 PM,Braves at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA- ESPN ----- Local Radio: KNBR 680- KXZM 93.7",05/21/19,05/22/19,09:45 PM,12:45 AM,FALSE,TRUE,05/21/19,05:45 PM,08:45 PM,FREE,BUSY
05/22/19,06:45 PM,09:45 PM,Braves at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/22/19,05/23/19,09:45 PM,12:45 AM,FALSE,TRUE,05/22/19,05:45 PM,08:45 PM,FREE,BUSY
05/23/19,12:45 PM,03:45 PM,Braves at Giants,Oracle Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",05/23/19,05/23/19,03:45 PM,06:45 PM,FALSE,TRUE,05/23/19,11:45 AM,02:45 PM,FREE,BUSY
