game_date,teams,location
7/17/2011,Giants at Padres,PETCO Park
7/18/2011,Dodgers at Giants,AT&T Park
7/19/2011,Dodgers at Giants,AT&T Park
7/20/2011,Dodgers at Giants,AT&T Park
7/22/2011,Brewers at Giants,AT&T Park
7/23/2011,Brewers at Giants,AT&T Park
7/24/2011,Brewers at Giants,AT&T Park
7/26/2011,Giants at Phillies,Citizens Bank Park
7/27/2011,Giants at Phillies,Citizens Bank Park
7/28/2011,Giants at Phillies,Citizens Bank Park
7/29/2011,Giants at Reds,Great American Ball Park
7/30/2011,Giants at Reds,Great American Ball Park
7/31/2011,Giants at Reds,Great American Ball Park
8/1/2011,D-backs at Giants,AT&T Park
8/2/2011,D-backs at Giants,AT&T Park
8/3/2011,D-backs at Giants,AT&T Park
8/4/2011,Phillies at Giants,AT&T Park
8/5/2011,Phillies at Giants,AT&T Park
8/6/2011,Phillies at Giants,AT&T Park
8/7/2011,Phillies at Giants,AT&T Park
8/8/2011,Pirates at Giants,AT&T Park
8/9/2011,Pirates at Giants,AT&T Park
8/10/2011,Pirates at Giants,AT&T Park
8/12/2011,Giants at Marlins,Sun Life Stadium
8/13/2011,Giants at Marlins,Sun Life Stadium
8/14/2011,Giants at Marlins,Sun Life Stadium
8/15/2011,Giants at Braves,Turner Field
8/16/2011,Giants at Braves,Turner Field
8/17/2011,Giants at Braves,Turner Field
8/18/2011,Giants at Braves,Turner Field
8/19/2011,Giants at Astros,Minute Maid Park
8/20/2011,Giants at Astros,Minute Maid Park
8/21/2011,Giants at Astros,Minute Maid Park
8/23/2011,Padres at Giants,AT&T Park
8/24/2011,Padres at Giants,AT&T Park
8/25/2011,Astros at Giants,AT&T Park
8/26/2011,Astros at Giants,AT&T Park
8/27/2011,Astros at Giants,AT&T Park
8/28/2011,Astros at Giants,AT&T Park
8/29/2011,Cubs at Giants,AT&T Park
8/30/2011,Cubs at Giants,AT&T Park
8/31/2011,Cubs at Giants,AT&T Park
9/2/2011,D-backs at Giants,AT&T Park
9/3/2011,D-backs at Giants,AT&T Park
9/4/2011,D-backs at Giants,AT&T Park
9/5/2011,Giants at Padres,PETCO Park
9/6/2011,Giants at Padres,PETCO Park
9/7/2011,Giants at Padres,PETCO Park
9/9/2011,Dodgers at Giants,AT&T Park
9/10/2011,Dodgers at Giants,AT&T Park
9/11/2011,Dodgers at Giants,AT&T Park
9/12/2011,Padres at Giants,AT&T Park
9/13/2011,Padres at Giants,AT&T Park
9/14/2011,Padres at Giants,AT&T Park
9/15/2011,Giants at Rockies,Coors Field
9/16/2011,Giants at Rockies,Coors Field
9/17/2011,Giants at Rockies,Coors Field
9/18/2011,Giants at Rockies,Coors Field
9/20/2011,Giants at Dodgers,Dodger Stadium
9/21/2011,Giants at Dodgers,Dodger Stadium
9/22/2011,Giants at Dodgers,Dodger Stadium
9/23/2011,Giants at D-backs,Chase Field
9/24/2011,Giants at D-backs,Chase Field
9/25/2011,Giants at D-backs,Chase Field
9/26/2011,Rockies at Giants,AT&T Park
9/27/2011,Rockies at Giants,AT&T Park
9/28/2011,Rockies at Giants,AT&T Park
