START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
05/08/12,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,05/08/12,05/08/12,06:33 AM,06:33 AM,FALSE,TRUE,05/08/12,02:33 AM,02:33 AM,FREE,BUSY
05/09/12,03:33 AM,03:33 AM,Giants at Dodgers,Dodger Stadium,,05/09/12,05/09/12,06:33 AM,06:33 AM,FALSE,TRUE,05/09/12,02:33 AM,02:33 AM,FREE,BUSY
05/11/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,05/11/12,05/11/12,06:33 AM,06:33 AM,FALSE,TRUE,05/11/12,02:33 AM,02:33 AM,FREE,BUSY
05/12/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,05/12/12,05/12/12,06:33 AM,06:33 AM,FALSE,TRUE,05/12/12,02:33 AM,02:33 AM,FREE,BUSY
05/13/12,03:33 AM,03:33 AM,Giants at D-backs,Chase Field,,05/13/12,05/13/12,06:33 AM,06:33 AM,FALSE,TRUE,05/13/12,02:33 AM,02:33 AM,FREE,BUSY
05/14/12,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,05/14/12,05/14/12,06:33 AM,06:33 AM,FALSE,TRUE,05/14/12,02:33 AM,02:33 AM,FREE,BUSY
05/15/12,03:33 AM,03:33 AM,Rockies at Giants,AT&T Park,,05/15/12,05/15/12,06:33 AM,06:33 AM,FALSE,TRUE,05/15/12,02:33 AM,02:33 AM,FREE,BUSY
05/16/12,03:33 AM,03:33 AM,Cardinals at Giants,AT&T Park,,05/16/12,05/16/12,06:33 AM,06:33 AM,FALSE,TRUE,05/16/12,02:33 AM,02:33 AM,FREE,BUSY
05/17/12,03:33 AM,03:33 AM,Cardinals at Giants,AT&T Park,,05/17/12,05/17/12,06:33 AM,06:33 AM,FALSE,TRUE,05/17/12,02:33 AM,02:33 AM,FREE,BUSY
05/18/12,03:33 AM,03:33 AM,Athletics at Giants,AT&T Park,,05/18/12,05/18/12,06:33 AM,06:33 AM,FALSE,TRUE,05/18/12,02:33 AM,02:33 AM,FREE,BUSY
05/19/12,03:33 AM,03:33 AM,Athletics at Giants,AT&T Park,,05/19/12,05/19/12,06:33 AM,06:33 AM,FALSE,TRUE,05/19/12,02:33 AM,02:33 AM,FREE,BUSY
05/20/12,03:33 AM,03:33 AM,Athletics at Giants,AT&T Park,,05/20/12,05/20/12,06:33 AM,06:33 AM,FALSE,TRUE,05/20/12,02:33 AM,02:33 AM,FREE,BUSY
05/21/12,03:33 AM,03:33 AM,Giants at Brewers,Miller Park,,05/21/12,05/21/12,06:33 AM,06:33 AM,FALSE,TRUE,05/21/12,02:33 AM,02:33 AM,FREE,BUSY
05/22/12,03:33 AM,03:33 AM,Giants at Brewers,Miller Park,,05/22/12,05/22/12,06:33 AM,06:33 AM,FALSE,TRUE,05/22/12,02:33 AM,02:33 AM,FREE,BUSY
